Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	% GC content	Gene type
ENSG00000252977	1	181771566	181771644	46.84	rRNA
ENSG00000120942	1	11273206	11296049	48.21	protein_coding
ENSG00000265606	1	18883202	18883275	70.27	miRNA
ENSG00000226446	1	119886304	119886927	44.39	processed_pseudogene
ENSG00000283152	1	172138808	172138888	54.32	miRNA
ENSG00000171943	1	121184810	121392822	41.92	protein_coding
ENSG00000158714	1	159826750	159837249	49.75	protein_coding
ENSG00000228336	1	247774910	247775836	46.71	unitary_pseudogene
ENSG00000271949	1	89633140	89933250	40.41	protein_coding
ENSG00000142634	1	15409895	15430343	56.77	protein_coding
ENSG00000199840	1	184171714	184171823	40.00	misc_RNA
ENSG00000169914	1	19882513	19912945	41.28	protein_coding
ENSG00000222986	1	231670635	231670750	36.21	snRNA
ENSG00000243364	1	155063731	155069553	54.15	protein_coding
ENSG00000200591	1	32639951	32640052	38.24	misc_RNA
ENSG00000224783	1	238777049	238779200	41.40	processed_pseudogene
ENSG00000200327	1	163468496	163468605	48.18	rRNA
ENSG00000233410	1	199006040	199021037	33.93	lincRNA
ENSG00000233129	1	93934479	93935244	29.90	processed_pseudogene
ENSG00000252222	1	184821428	184821489	41.94	snRNA
ENSG00000200759	1	151022746	151022852	43.93	snRNA
ENSG00000252098	1	27255464	27255567	39.42	misc_RNA
ENSG00000229101	1	115556826	115557475	42.46	unprocessed_pseudogene
ENSG00000200547	1	116452536	116452627	39.13	misc_RNA
ENSG00000239640	1	52714399	52714695	52.53	misc_RNA
ENSG00000234761	1	202986557	202988582	50.00	transcribed_unprocessed_pseudogene
ENSG00000229956	1	71081324	71489976	36.62	processed_transcript
ENSG00000224235	1	87899909	87905714	38.51	lincRNA
ENSG00000197472	1	246945547	247008093	42.51	protein_coding
ENSG00000222821	1	36402721	36402859	40.29	snRNA
ENSG00000252484	1	224107282	224107541	41.54	misc_RNA
ENSG00000274408	1	146539541	146539663	42.28	rRNA
ENSG00000272262	1	202410108	202410207	35.00	snRNA
ENSG00000221203	1	68183518	68183610	35.48	miRNA
ENSG00000265986	1	196582413	196582481	37.68	miRNA
ENSG00000276869	1	12029158	12029222	75.38	miRNA
ENSG00000203781	1	153427020	153428401	47.68	unprocessed_pseudogene
ENSG00000227634	1	8202429	8215210	49.45	lincRNA
ENSG00000265422	1	22719517	22719598	52.44	miRNA
ENSG00000225919	1	232718071	232722250	39.55	lincRNA
ENSG00000200942	1	201733406	201733505	39.00	snRNA
ENSG00000233268	1	9660828	9662626	50.42	processed_pseudogene
ENSG00000200036	1	167005959	167006077	51.26	rRNA
ENSG00000199349	1	206747980	206748092	39.82	misc_RNA
ENSG00000162621	1	74469878	74512614	37.67	protein_coding
ENSG00000252682	1	154288460	154288527	47.06	snoRNA
ENSG00000222552	1	159178473	159178559	51.72	rRNA
ENSG00000266802	1	23057858	23057934	59.74	miRNA
ENSG00000276632	1	159649151	159649620	41.28	processed_pseudogene
ENSG00000200220	1	154039916	154040022	39.25	snRNA
ENSG00000186891	1	1203508	1206691	67.46	protein_coding
ENSG00000142669	1	26279176	26281522	61.74	protein_coding
ENSG00000252553	1	189666149	189666256	47.22	rRNA
ENSG00000278073	1	1296110	1296170	70.49	miRNA
ENSG00000275207	1	202003124	202003236	47.79	miRNA
ENSG00000203878	1	111280059	111286116	42.64	transcribed_unprocessed_pseudogene
ENSG00000266188	1	52934930	52935017	62.50	miRNA
ENSG00000224870	1	1399522	1402046	59.37	processed_transcript
ENSG00000278465	1	206474803	206474864	62.90	miRNA
ENSG00000196369	1	144887265	145095528	42.03	protein_coding
ENSG00000116285	1	8004404	8026308	42.80	protein_coding
ENSG00000239887	1	162366908	162386818	50.44	protein_coding
ENSG00000231714	1	194350943	194352426	35.38	lincRNA
ENSG00000213068	1	167162423	167162837	50.60	processed_pseudogene
ENSG00000252135	1	148385829	148385963	48.15	snRNA
ENSG00000212541	1	37991462	37991569	37.96	snRNA
ENSG00000201032	1	200933345	200933447	39.81	snRNA
ENSG00000222240	1	188155839	188156180	46.49	misc_RNA
ENSG00000253085	1	13696070	13696199	46.92	scaRNA
ENSG00000207508	1	40177843	40177949	38.32	snRNA
ENSG00000169442	1	26317957	26320523	54.58	protein_coding
ENSG00000199270	1	228634871	228634989	60.50	rRNA
ENSG00000274199	1	63549489	63549608	30.00	misc_RNA
ENSG00000200536	1	110272484	110272607	37.90	snoRNA
ENSG00000201699	1	149162783	149162944	46.91	snRNA
ENSG00000162777	1	111187174	111204535	50.09	protein_coding
ENSG00000184588	1	65792514	66374579	37.45	protein_coding
ENSG00000206762	1	205595041	205595147	45.79	snRNA
ENSG00000132128	1	46261196	46303608	47.41	protein_coding
ENSG00000273768	1	146376807	146376970	54.27	snRNA
ENSG00000252920	1	153012482	153012614	44.36	snoRNA
ENSG00000197364	1	153437058	153439949	50.83	protein_coding
ENSG00000206832	1	109591534	109591640	42.99	snRNA
ENSG00000231789	1	9672426	9687555	49.65	antisense
ENSG00000207941	1	34669599	34669694	37.50	miRNA
ENSG00000280587	1	235065479	235074220	50.25	lincRNA
ENSG00000212257	1	65022968	65023074	28.04	snRNA
ENSG00000231979	1	239915439	239916955	34.54	lincRNA
ENSG00000230699	1	911435	914948	58.54	lincRNA
ENSG00000241395	1	211792111	211792406	55.07	misc_RNA
ENSG00000273591	1	149290513	149290762	41.60	misc_RNA
ENSG00000272438	1	904834	915976	61.47	lincRNA
ENSG00000212292	1	154295503	154295601	36.36	snRNA
ENSG00000241180	1	914171	914971	58.93	lincRNA
ENSG00000206737	1	143729407	143729570	54.27	snRNA
ENSG00000206620	1	75787072	75787150	35.44	snoRNA
ENSG00000243872	1	220571739	220572035	54.21	misc_RNA
ENSG00000202444	1	44819883	44819997	37.39	snRNA
ENSG00000224857	1	121573946	121580524	41.10	lincRNA
ENSG00000263513	1	143955364	143971965	40.18	protein_coding
ENSG00000277702	1	143419625	143420207	57.63	unprocessed_pseudogene
ENSG00000274940	1	153689705	153689793	64.04	miRNA
ENSG00000226235	1	205373252	205387440	44.60	antisense
ENSG00000263987	1	154104521	154104592	55.56	miRNA
ENSG00000201638	1	234837976	234838069	42.55	misc_RNA
ENSG00000201987	1	164854231	164854332	42.16	misc_RNA
ENSG00000266458	1	159899979	159900079	64.36	miRNA
ENSG00000283340	1	170151378	170151462	34.12	miRNA
ENSG00000259030	1	74198235	74543982	36.52	protein_coding
ENSG00000251866	1	15542165	15542304	60.71	scaRNA
ENSG00000252433	1	67102645	67102779	40.00	snoRNA
ENSG00000281696	1	220200538	220200619	31.71	miRNA
ENSG00000049246	1	7784320	7845177	40.53	protein_coding
ENSG00000274266	1	28507366	28507571	56.31	snoRNA
ENSG00000236497	1	232727254	232742715	42.03	lincRNA
ENSG00000200495	1	248912690	248912795	40.57	snRNA
ENSG00000233929	1	16241213	16241398	60.75	processed_pseudogene
ENSG00000222854	1	144701050	144701159	44.55	rRNA
ENSG00000228208	1	218510096	218525978	40.57	lincRNA
ENSG00000236539	1	179447602	179457315	43.29	processed_pseudogene
ENSG00000251813	1	194488103	194488205	33.01	snRNA
ENSG00000281741	1	120913151	120914238	64.52	protein_coding
ENSG00000117472	1	46175073	46185958	50.69	protein_coding
ENSG00000244371	1	146957117	146957659	53.22	processed_pseudogene
ENSG00000266160	1	156985755	156986049	52.54	misc_RNA
ENSG00000240038	1	103553815	103579534	34.92	protein_coding
ENSG00000275213	1	205684018	205684307	51.03	misc_RNA
ENSG00000263841	1	153500463	153500764	53.64	misc_RNA
ENSG00000236505	1	40563534	40563659	48.41	unprocessed_pseudogene
ENSG00000143355	1	197911902	197935478	43.13	protein_coding
ENSG00000206931	1	150701866	150701972	37.38	snRNA
ENSG00000199442	1	247997000	247997096	47.42	misc_RNA
ENSG00000264963	1	94150738	94151080	51.31	misc_RNA
ENSG00000173660	1	46303631	46316776	46.30	protein_coding
ENSG00000230231	1	166474745	166481565	37.18	unprocessed_pseudogene
ENSG00000200139	1	199888159	199888261	38.83	snRNA
ENSG00000181036	1	159800511	159816251	47.58	protein_coding
ENSG00000116560	1	35176378	35193148	41.83	protein_coding
ENSG00000278274	1	28579764	28579893	45.38	snoRNA
ENSG00000283414	1	43716467	43716556	35.56	snRNA
ENSG00000276442	1	144265217	144265326	44.55	rRNA
ENSG00000279054	1	53053624	53054949	43.89	protein_coding
ENSG00000223263	1	67417214	67417318	34.29	snRNA
ENSG00000228734	1	63249920	63251771	40.98	lincRNA
ENSG00000200174	1	62211557	62211666	43.64	misc_RNA
ENSG00000203605	1	63139250	63163153	39.89	lincRNA
ENSG00000201273	1	22010985	22011088	43.27	snRNA
ENSG00000199934	1	85592280	85592356	32.47	snoRNA
ENSG00000264592	1	36191915	36192170	57.03	misc_RNA
ENSG00000207962	1	40757284	40757372	50.56	miRNA
ENSG00000215938	1	154193665	154193743	34.18	miRNA
ENSG00000158286	1	6205475	6221299	57.32	protein_coding
ENSG00000207974	1	168375524	168375621	54.08	miRNA
ENSG00000252784	1	63338263	63338372	46.36	misc_RNA
ENSG00000241992	1	96583209	96583527	52.04	misc_RNA
ENSG00000252860	1	200054061	200054165	39.05	snRNA
ENSG00000229247	1	26640377	26640614	53.36	processed_pseudogene
ENSG00000070886	1	22563564	22603594	56.79	protein_coding
ENSG00000251825	1	73191604	73191855	45.63	misc_RNA
ENSG00000227094	1	162316852	162317794	42.42	antisense
ENSG00000254706	1	162365407	162383531	49.67	protein_coding
ENSG00000212266	1	117688621	117688742	30.33	snoRNA
ENSG00000199352	1	228610268	228610386	60.50	rRNA
ENSG00000202408	1	148334612	148334767	48.72	snRNA
ENSG00000202254	1	99791662	99791753	43.48	misc_RNA
ENSG00000278757	1	516376	516479	39.42	snRNA
ENSG00000200262	1	51107222	51107331	44.55	misc_RNA
ENSG00000251720	1	63536711	63536770	35.00	snRNA
ENSG00000234711	1	873292	874349	55.39	unprocessed_pseudogene
ENSG00000200839	1	51973410	51973535	45.24	rRNA
ENSG00000266210	1	30918469	30918735	51.69	misc_RNA
ENSG00000265961	1	31503631	31503744	42.11	misc_RNA
ENSG00000230687	1	175203228	175204849	45.75	lincRNA
ENSG00000265141	1	8979576	8979874	54.85	misc_RNA
ENSG00000224616	1	100264009	100266120	42.80	antisense
ENSG00000212360	1	61852499	61852602	40.38	snRNA
ENSG00000231663	1	234372807	234373593	48.54	antisense
ENSG00000243267	1	10616836	10617115	58.57	misc_RNA
ENSG00000233975	1	27660328	27662722	49.06	lincRNA
ENSG00000283369	1	247607126	247607201	39.47	snRNA
ENSG00000251977	1	8292157	8292263	46.73	snRNA
ENSG00000230813	1	246527030	246528155	60.39	unprocessed_pseudogene
ENSG00000188257	1	19975431	19980416	52.09	protein_coding
ENSG00000143199	1	167809388	167914215	41.76	protein_coding
ENSG00000207349	1	143699456	143699619	51.83	snRNA
ENSG00000252692	1	206080239	206080324	38.37	snoRNA
ENSG00000199837	1	182944365	182944490	56.35	rRNA
ENSG00000276839	1	182576772	182577040	54.28	misc_RNA
ENSG00000187800	1	156893698	156916434	57.04	protein_coding
ENSG00000265435	1	180438314	180438390	35.06	miRNA
ENSG00000207326	1	246426006	246426119	39.47	misc_RNA
ENSG00000252051	1	229410500	229410767	49.25	misc_RNA
ENSG00000228081	1	209173014	209173375	62.43	processed_pseudogene
ENSG00000199756	1	28881726	28881835	37.27	misc_RNA
ENSG00000215853	1	152153595	152159228	44.75	protein_coding
ENSG00000276470	1	11843812	11843984	53.18	misc_RNA
ENSG00000252032	1	51538625	51538729	37.14	snRNA
ENSG00000207190	1	64028894	64029000	39.25	snRNA
ENSG00000201596	1	185634073	185634182	37.27	misc_RNA
ENSG00000188786	1	37809567	37859620	43.61	protein_coding
ENSG00000151414	1	198156963	198322420	35.84	protein_coding
ENSG00000238037	1	44155028	44155301	40.51	processed_pseudogene
ENSG00000227994	1	44172506	44172719	64.02	processed_pseudogene
ENSG00000271329	1	44187943	44189049	43.99	processed_pseudogene
ENSG00000069712	1	92167857	92184330	34.70	protein_coding
ENSG00000225196	1	12220794	12221109	52.22	processed_pseudogene
ENSG00000283619	1	209938251	210161042	36.62	protein_coding
ENSG00000134184	1	109687814	109709039	46.17	protein_coding
ENSG00000117228	1	89052319	89065360	38.12	protein_coding
ENSG00000202385	1	89020246	89020365	42.50	misc_RNA
ENSG00000243173	1	162777730	162778014	52.28	misc_RNA
ENSG00000206791	1	148014417	148014583	64.67	snRNA
ENSG00000243970	1	39531838	39558707	44.80	unprocessed_pseudogene
ENSG00000227062	1	80464301	80464718	34.69	processed_pseudogene
ENSG00000239428	1	171392229	171392790	54.09	processed_pseudogene
ENSG00000252691	1	26006216	26006299	52.38	scaRNA
ENSG00000200624	1	228621447	228621565	60.50	rRNA
ENSG00000010932	1	171248471	171285978	40.91	protein_coding
ENSG00000233018	1	235097187	235097412	54.42	processed_pseudogene
ENSG00000058085	1	183186238	183244900	43.28	protein_coding
ENSG00000187583	1	966497	975865	62.65	protein_coding
ENSG00000253097	1	205566716	205566799	42.86	snRNA
ENSG00000215914	1	1699942	1701782	72.13	unprocessed_pseudogene
ENSG00000264809	1	178484408	178484682	51.27	misc_RNA
ENSG00000215908	1	16618969	16644683	53.58	transcribed_unprocessed_pseudogene
ENSG00000265392	1	6429834	6429896	65.08	miRNA
ENSG00000265744	1	233624152	233624219	39.71	miRNA
ENSG00000077522	1	236686454	236764631	43.06	protein_coding
ENSG00000085831	1	51287258	51345116	51.40	protein_coding
ENSG00000283495	1	99861472	99921651	35.82	protein_coding
ENSG00000065243	1	88684222	88836255	36.25	protein_coding
ENSG00000234464	1	238276037	238287016	36.99	lincRNA
ENSG00000225704	1	171345089	171345320	42.67	processed_pseudogene
ENSG00000281112	1	45592722	45592814	65.59	pseudogene
ENSG00000116898	1	36455718	36464437	49.28	protein_coding
ENSG00000266203	1	32086949	32087007	50.85	miRNA
ENSG00000263908	1	62078786	62078859	45.95	miRNA
ENSG00000264371	1	25023503	25023586	44.05	miRNA
ENSG00000283676	1	148334479	148334554	42.11	miRNA
ENSG00000235467	1	242365189	242365822	48.26	processed_pseudogene
ENSG00000198756	1	183929854	184037729	40.44	protein_coding
ENSG00000252151	1	14124233	14124335	44.66	snRNA
ENSG00000206654	1	39120940	39121043	42.31	snRNA
ENSG00000230817	1	82903183	83166815	37.03	lincRNA
ENSG00000201448	1	36418450	36418578	40.31	snoRNA
ENSG00000241188	1	26814822	26815112	50.17	misc_RNA
ENSG00000224540	1	209232196	209233419	52.70	processed_pseudogene
ENSG00000275823	1	63549294	63549366	31.51	misc_RNA
ENSG00000222664	1	93026252	93026542	46.39	misc_RNA
ENSG00000243323	1	202168051	202189455	55.08	unitary_pseudogene
ENSG00000276103	1	150608507	150608623	44.44	snRNA
ENSG00000272443	1	147445579	147446133	45.05	unprocessed_pseudogene
ENSG00000277762	1	147689256	147689537	51.06	misc_RNA
ENSG00000168765	1	109656081	109674836	49.98	protein_coding
ENSG00000252802	1	26593940	26594041	44.12	misc_RNA
ENSG00000200381	1	228616991	228617109	60.50	rRNA
ENSG00000157330	1	12746215	12763699	43.81	protein_coding
ENSG00000199377	1	44721786	44721902	35.04	snRNA
ENSG00000251875	1	179576268	179576349	37.80	snRNA
ENSG00000213366	1	109668022	109709551	46.70	protein_coding
ENSG00000212248	1	99978939	99979045	43.93	snRNA
ENSG00000221643	1	203729581	203729705	56.80	snoRNA
ENSG00000206779	1	28422555	28422655	43.56	misc_RNA
ENSG00000221216	1	28481362	28481480	47.06	snRNA
ENSG00000254685	1	74198212	74234086	34.35	protein_coding
ENSG00000143512	1	222522258	222548103	43.76	protein_coding
ENSG00000236484	1	161378707	161379358	48.31	processed_pseudogene
ENSG00000163263	1	154199372	154206333	46.57	protein_coding
ENSG00000226483	1	108508574	108509243	43.73	processed_pseudogene
ENSG00000162739	1	160485030	160523262	39.67	protein_coding
ENSG00000207194	1	50582404	50582511	37.96	snRNA
ENSG00000227141	1	179586705	179589175	53.50	processed_pseudogene
ENSG00000261060	1	179590372	179591305	42.83	sense_overlapping
ENSG00000085465	1	111414314	111427777	45.70	protein_coding
ENSG00000276189	1	3736943	3737103	57.76	misc_RNA
ENSG00000162852	1	246566444	246668584	41.32	protein_coding
ENSG00000200360	1	111490317	111490423	38.32	snRNA
ENSG00000235933	1	116164284	116166241	51.58	lincRNA
ENSG00000253074	1	67196140	67196243	42.31	snRNA
ENSG00000201900	1	114727720	114727824	45.71	misc_RNA
ENSG00000225598	1	80373364	80374621	33.70	lincRNA
ENSG00000157916	1	2391775	2405444	53.95	protein_coding
ENSG00000228187	1	77194825	77195395	51.84	processed_pseudogene
ENSG00000223181	1	758233	758336	39.42	snRNA
ENSG00000131788	1	145848522	145859836	52.28	protein_coding
ENSG00000252969	1	12221148	12221271	46.77	snoRNA
ENSG00000252429	1	26602369	26602432	34.38	snRNA
ENSG00000207181	1	235127803	235127937	46.67	snoRNA
ENSG00000221545	1	167998660	167998726	43.28	miRNA
ENSG00000152104	1	214348696	214552449	41.30	protein_coding
ENSG00000264341	1	5564071	5564143	63.01	miRNA
ENSG00000228040	1	112890767	112890922	41.03	processed_pseudogene
ENSG00000199385	1	44390722	44390823	42.16	snRNA
ENSG00000223794	1	179255733	179256081	51.86	processed_pseudogene
ENSG00000252396	1	237120807	237121109	53.47	misc_RNA
ENSG00000207590	1	220117853	220117962	34.55	miRNA
ENSG00000264926	1	23929070	23929147	52.56	miRNA
ENSG00000278281	1	86357632	86357687	42.86	miRNA
ENSG00000263811	1	16858949	16859021	41.10	miRNA
ENSG00000263526	1	94745860	94745900	63.41	miRNA
ENSG00000212916	1	232804892	232808407	44.99	protein_coding
ENSG00000198929	1	162069774	162370475	42.43	protein_coding
ENSG00000169509	1	152514502	152516010	55.40	protein_coding
ENSG00000230124	1	180269653	180502954	37.67	protein_coding
ENSG00000200408	1	204562413	204562521	57.80	rRNA
ENSG00000162692	1	100719742	100739045	36.93	protein_coding
ENSG00000274258	1	8866502	8866590	60.67	miRNA
ENSG00000196878	1	209614870	209652466	49.95	protein_coding
ENSG00000276835	1	22633258	22633366	55.05	miRNA
ENSG00000264916	1	179900262	179900564	55.12	misc_RNA
ENSG00000207451	1	11226254	11226360	40.19	snRNA
ENSG00000224685	1	100651947	100652267	41.43	processed_pseudogene
ENSG00000235595	1	119462029	119463021	47.03	processed_pseudogene
ENSG00000121644	1	244652935	244709033	40.41	protein_coding
ENSG00000206990	1	165662585	165662687	41.75	misc_RNA
ENSG00000206627	1	52805108	52805212	38.10	snRNA
ENSG00000222788	1	148939739	148939817	36.71	snRNA
ENSG00000213559	1	80451083	80452004	44.79	processed_pseudogene
ENSG00000283442	1	155894281	155894386	37.74	snRNA
ENSG00000236775	1	247015068	247017291	39.66	processed_pseudogene
ENSG00000252317	1	240341385	240341477	37.63	misc_RNA
ENSG00000283324	1	150887136	150913292	42.36	protein_coding
ENSG00000188295	1	247099962	247104372	43.07	protein_coding
ENSG00000097033	1	86704570	86748184	36.11	protein_coding
ENSG00000229407	1	179816184	179818191	56.47	antisense
ENSG00000049239	1	9234775	9271337	52.29	protein_coding
ENSG00000143340	1	179743163	179816198	47.32	protein_coding
ENSG00000221953	1	247110160	247112417	64.53	lincRNA
ENSG00000207523	1	92840719	92840851	47.37	snoRNA
ENSG00000197785	1	1512151	1534687	59.87	protein_coding
ENSG00000224837	1	168055901	168056422	49.23	processed_pseudogene
ENSG00000163879	1	37556919	37566857	49.25	protein_coding
ENSG00000277168	1	37953508	37953780	58.24	misc_RNA
ENSG00000272645	1	223951394	223992594	44.31	transcribed_unprocessed_pseudogene
ENSG00000179840	1	9652610	9654586	55.29	antisense
ENSG00000206880	1	168263375	168263481	38.32	snRNA
ENSG00000201602	1	248594925	248595033	37.61	misc_RNA
ENSG00000226883	1	59754747	59789182	39.62	antisense
ENSG00000231510	1	5086459	5090899	41.00	lincRNA
ENSG00000271742	1	15682873	15683128	52.34	lincRNA
ENSG00000207504	1	67541127	67541233	38.32	snRNA
ENSG00000274059	1	207708898	207708981	45.24	rRNA
ENSG00000223881	1	198597724	198598868	40.96	lincRNA
ENSG00000121481	1	185045364	185102608	39.39	protein_coding
ENSG00000236045	1	15334166	15335464	50.96	antisense
ENSG00000224834	1	227434064	227434346	45.94	processed_pseudogene
ENSG00000230953	1	52920422	52920596	48.57	processed_pseudogene
ENSG00000236866	1	117596832	117605770	43.34	antisense
ENSG00000206635	1	151629324	151629430	40.19	snRNA
ENSG00000201170	1	245133927	245134090	51.83	snRNA
ENSG00000201725	1	8883427	8883533	42.99	snRNA
ENSG00000207237	1	25964197	25964300	42.31	snRNA
ENSG00000223653	1	85276715	85448124	39.91	antisense
ENSG00000223306	1	225741275	225741380	37.74	snRNA
ENSG00000196734	1	152811971	152813109	48.64	protein_coding
ENSG00000272084	1	19072110	19075511	55.94	3prime_overlapping_ncRNA
ENSG00000215785	1	10990978	10991797	53.05	processed_pseudogene
ENSG00000092969	1	218346235	218444619	41.85	protein_coding
ENSG00000273629	1	176217541	176217602	35.48	snRNA
ENSG00000197245	1	26159020	26163962	58.12	protein_coding
ENSG00000265596	1	38089231	38089329	47.47	miRNA
ENSG00000176256	1	33860475	33864791	45.45	protein_coding
ENSG00000264384	1	154166245	154166549	51.80	misc_RNA
ENSG00000206659	1	175022479	175022580	42.16	misc_RNA
ENSG00000200175	1	150812591	150812698	37.96	snRNA
ENSG00000278549	1	145850587	145850645	61.02	miRNA
ENSG00000224718	1	175877343	175880468	50.10	lincRNA
ENSG00000134200	1	115029824	115034309	33.91	protein_coding
ENSG00000227740	1	175904762	175920513	38.64	lincRNA
ENSG00000230777	1	175921975	175922145	52.63	processed_pseudogene
ENSG00000206999	1	75183045	75183147	39.81	snRNA
ENSG00000231547	1	202999738	203000352	46.67	unprocessed_pseudogene
ENSG00000201405	1	23370254	23370346	38.71	misc_RNA
ENSG00000228703	1	109628417	109630305	59.93	antisense
ENSG00000235096	1	246025897	246035603	39.39	antisense
ENSG00000230184	1	246321663	246322438	46.52	sense_intronic
ENSG00000117215	1	20111939	20119566	50.59	protein_coding
ENSG00000132698	1	156061160	156070514	51.25	protein_coding
ENSG00000269890	1	228270443	228274397	54.18	antisense
ENSG00000273478	1	201995696	201996352	45.51	antisense
ENSG00000270110	1	228295911	228302998	46.52	antisense
ENSG00000163141	1	151036570	151047600	46.98	protein_coding
ENSG00000232059	1	244694432	244694720	51.21	processed_pseudogene
ENSG00000153898	1	84925583	84997113	40.38	protein_coding
ENSG00000282317	1	244731024	244731586	48.85	lincRNA
ENSG00000132677	1	156369212	156385219	51.82	protein_coding
ENSG00000159214	1	43991359	43996528	57.95	protein_coding
ENSG00000215833	1	168449672	168451211	41.75	processed_pseudogene
ENSG00000202491	1	200008505	200008607	36.89	snRNA
ENSG00000228190	1	199371877	199372297	45.37	processed_pseudogene
ENSG00000198198	1	43389882	43452650	49.96	protein_coding
ENSG00000283255	1	168401483	168407274	38.93	lincRNA
ENSG00000117713	1	26693236	26782104	46.19	protein_coding
ENSG00000236468	1	199387141	199388475	45.17	processed_pseudogene
ENSG00000142621	1	15247272	15400283	47.42	protein_coding
ENSG00000116489	1	112619173	112671619	40.34	protein_coding
ENSG00000231718	1	199148598	199393307	36.08	lincRNA
ENSG00000226419	1	112956415	113047055	43.76	antisense
ENSG00000207721	1	71067631	71067716	36.05	miRNA
ENSG00000171603	1	9729026	9824526	47.37	protein_coding
ENSG00000199347	1	11908152	11908271	40.00	snRNA
ENSG00000164010	1	42817124	42844989	43.13	protein_coding
ENSG00000259865	1	247187281	247188526	27.85	lincRNA
ENSG00000235818	1	247236868	247237957	40.37	processed_pseudogene
ENSG00000232015	1	77853355	77853893	44.71	processed_pseudogene
ENSG00000271567	1	144372875	144373659	45.61	protein_coding
ENSG00000197721	1	207645113	207738416	40.50	protein_coding
ENSG00000232175	1	232917235	232918018	48.72	processed_pseudogene
ENSG00000116161	1	174999163	175011715	40.31	protein_coding
